lsoa_code,lsoa_name,value
E01000001,City of London 001A,1164048
E01000002,City of London 001B,994818
E01000003,City of London 001C,890807
E01000005,City of London 001E,0
E01032739,City of London 001F,732375
E01032740,City of London 001G,1074834
E01000006,Barking and Dagenham 016A,346143
E01000007,Barking and Dagenham 015A,241698
E01000008,Barking and Dagenham 015B,207053
E01000009,Barking and Dagenham 016B,301078
E01000010,Barking and Dagenham 015C,225253
E01000011,Barking and Dagenham 016C,353327
E01000012,Barking and Dagenham 015D,228500
E01000013,Barking and Dagenham 013A,303692
E01000014,Barking and Dagenham 013B,293682
E01000015,Barking and Dagenham 009A,244926
E01000016,Barking and Dagenham 009B,298393
E01000017,Barking and Dagenham 009C,288200
E01000018,Barking and Dagenham 009D,319750
E01000019,Barking and Dagenham 023A,297125
E01000020,Barking and Dagenham 023B,296333
E01000021,Barking and Dagenham 008A,292433
E01000022,Barking and Dagenham 008B,307385
E01000023,Barking and Dagenham 008C,265773
E01000024,Barking and Dagenham 008D,314625
E01000025,Barking and Dagenham 008E,296011
E01000027,Barking and Dagenham 001A,275400
E01000028,Barking and Dagenham 001B,297595
E01000029,Barking and Dagenham 001C,312774
E01000030,Barking and Dagenham 001D,303100
E01000031,Barking and Dagenham 002A,358159
E01000032,Barking and Dagenham 002B,307927
E01000033,Barking and Dagenham 006A,325571
E01000034,Barking and Dagenham 003A,324400
E01000035,Barking and Dagenham 010A,291978
E01000036,Barking and Dagenham 010B,321083
E01000037,Barking and Dagenham 003B,347722
E01000038,Barking and Dagenham 003C,365324
E01000039,Barking and Dagenham 003D,311114
E01000040,Barking and Dagenham 019A,275840
E01000041,Barking and Dagenham 017A,315692
E01000042,Barking and Dagenham 017B,410570
E01000043,Barking and Dagenham 019B,325125
E01000044,Barking and Dagenham 016D,307944
E01000045,Barking and Dagenham 017C,334233
E01000046,Barking and Dagenham 017D,298478
E01000048,Barking and Dagenham 021B,0
E01000049,Barking and Dagenham 021C,309600
E01000050,Barking and Dagenham 019C,284467
E01000051,Barking and Dagenham 021D,0
E01000052,Barking and Dagenham 019D,310168
E01000053,Barking and Dagenham 020A,238708
E01000054,Barking and Dagenham 018A,290237
E01000055,Barking and Dagenham 018B,282909
E01000056,Barking and Dagenham 018C,327400
E01000057,Barking and Dagenham 012A,278080
E01000058,Barking and Dagenham 018D,296340
E01000059,Barking and Dagenham 013C,287750
E01000060,Barking and Dagenham 006B,280794
E01000061,Barking and Dagenham 006C,212167
E01000062,Barking and Dagenham 006D,317102
E01000063,Barking and Dagenham 004A,300306
E01000064,Barking and Dagenham 006E,277029
E01000065,Barking and Dagenham 007A,287344
E01000066,Barking and Dagenham 011A,282929
E01000067,Barking and Dagenham 011B,445934
E01000068,Barking and Dagenham 016E,429325
E01000069,Barking and Dagenham 011C,471450
E01000070,Barking and Dagenham 011D,432000
E01000071,Barking and Dagenham 011E,412250
E01000072,Barking and Dagenham 017E,283663
E01000073,Barking and Dagenham 012B,300333
E01000074,Barking and Dagenham 012C,311300
E01000075,Barking and Dagenham 012D,324250
E01000076,Barking and Dagenham 012E,293923
E01000077,Barking and Dagenham 008F,291091
E01000078,Barking and Dagenham 007B,275955
E01000079,Barking and Dagenham 009E,317111
E01000080,Barking and Dagenham 007C,257160
E01000081,Barking and Dagenham 007D,282083
E01000082,Barking and Dagenham 007E,282975
E01000083,Barking and Dagenham 007F,307333
E01000084,Barking and Dagenham 013D,298345
E01000085,Barking and Dagenham 013E,265203
E01000086,Barking and Dagenham 013F,288444
E01000087,Barking and Dagenham 020B,309792
E01000088,Barking and Dagenham 020C,279405
E01000089,Barking and Dagenham 020D,274367
E01000090,Barking and Dagenham 020E,307000
E01000091,Barking and Dagenham 022A,299389
E01000092,Barking and Dagenham 019E,289092
E01000093,Barking and Dagenham 022B,230390
E01000094,Barking and Dagenham 022C,226450
E01000095,Barking and Dagenham 018E,291308
E01000096,Barking and Dagenham 022D,302400
E01000097,Barking and Dagenham 023C,315786
E01000098,Barking and Dagenham 023D,297316
E01000099,Barking and Dagenham 023E,301000
E01000100,Barking and Dagenham 004B,296139
E01000101,Barking and Dagenham 004C,285500
E01000102,Barking and Dagenham 007G,304136
E01000103,Barking and Dagenham 014A,287164
E01000104,Barking and Dagenham 014B,302507
E01000105,Barking and Dagenham 014C,250563
E01000106,Barking and Dagenham 014D,257000
E01000107,Barking and Dagenham 010C,325750
E01000108,Barking and Dagenham 010D,285881
